n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.5634489707310875,0.6758093430518584,0.5736387640921246,0.6571614378919828,0.5707605598317351,0.6213444041730213,0.5665934027430739,0.7027057611974413,0.5737332457851096,0.6844593643574396,0.5696349886366262,0.004040071839557011,0.6682960621343488,0.02767730897630458
1750,0.05,0.3398591113032998,0.5557143754111623,0.34542679903927165,0.5546837423380561,0.34681842141959907,0.5193035388948274,0.34017021093386135,0.5769128669505005,0.3489866363825862,0.5699456465157704,0.3442522358157236,0.003642579475178527,0.5553120340220633,0.01988922797988893
1750,0.1,0.2480781368644947,0.5241894335436681,0.24110865803684065,0.5242249386988996,0.24603184645538498,0.48885895907497895,0.24415882703113795,0.539343016176763,0.24731679161628678,0.5252602116786543,0.245338852000829,0.0024973252852925876,0.5203753118345927,0.016770710761163012
1750,0.2,0.1573246912544228,0.5105962670256854,0.16084879075182845,0.5083886364912171,0.1599992693014688,0.4773455312920638,0.15889408482572845,0.5244985553703374,0.16168174078829642,0.5105789316441974,0.15974971538434898,0.0015241923543974185,0.5062815843647003,0.015560697598836144
2000,0.01,0.5449987343541564,0.6640479109946463,0.5549140050138771,0.6455855006806818,0.5533029768857454,0.6111347546512063,0.5481386887278504,0.6917055875016033,0.5551325234742078,0.6736438874706809,0.5512973856911675,0.004036359457515374,0.6572235282597637,0.027440231575399595
2000,0.05,0.32204893213523156,0.5483845274244709,0.32528821701770505,0.5489578612895192,0.32836504002856987,0.5147114676830568,0.32256354691864714,0.5684028025986397,0.3289467323609883,0.5602966436979694,0.3254424936922284,0.0028512930959211456,0.5481506605387312,0.018311526700581362
2000,0.1,0.23082171953807432,0.5197719056146435,0.22329849098002866,0.519134161898154,0.22916990795870998,0.48718178123914585,0.22720489895514928,0.53583186779323,0.23096028427049697,0.5225873491038687,0.22829106034049182,0.0028427754351307297,0.5169014131298084,0.016044771083125516
2000,0.2,0.14264377325862554,0.5067956692212612,0.14583799828011124,0.5064859771632932,0.14530001394722583,0.47488639231310775,0.14470545067696927,0.5210490018536635,0.14593692186259258,0.5082866961395748,0.14488483160510487,0.0012035212525880671,0.5035007473381801,0.015293109319526824
2250,0.01,0.5288391734484241,0.6532623589720028,0.5380162574797205,0.6354973073467439,0.5378966093415163,0.6032001256655993,0.5314011821666783,0.6819934698119456,0.5391049553541243,0.663625903036022,0.5350516355580928,0.00412874692279441,0.6475158329664628,0.026793996465160223
2250,0.05,0.3062791807875437,0.5431918128955331,0.30869080073078103,0.5439820596043357,0.3135098052485096,0.5119320202113101,0.3073201125579039,0.5628859169315562,0.31241816724341304,0.5527323477406904,0.3096436133136303,0.0028380099855033953,0.542944831476685,0.017066772795865385
2250,0.1,0.2175259924468364,0.5173321640025023,0.208719619966157,0.5146711585525273,0.2151489792407747,0.48437038212691086,0.21334951366986066,0.5318747925915501,0.21726744296268358,0.5186444827827886,0.21440230965726248,0.0032225840566583084,0.5133785960112559,0.015675565329339197
2250,0.2,0.129639534753168,0.5057347175909156,0.13313702076258596,0.5066923809981281,0.1335250782382579,0.4748250733508186,0.13272213918586334,0.5204725204860213,0.1342716369125081,0.5103980046080796,0.13265908197047666,0.0015937597106121576,0.5036245394067926,0.015316710132313475
