n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.6410016581886497,0.7044371482525258,0.6364502613357024,0.6786078724857939,0.6501733110800542,0.6618452863930777,0.630671787124214,0.7287077585442993,0.6316270912408714,0.7008405360609729,0.6379848217938983,0.0071262425243067366,0.6948877203473339,0.022922733082673497
1750,0.05,0.44623359778049143,0.6132713601368663,0.45206168973783756,0.5937729386412139,0.4516076958645452,0.5781899233546918,0.4402692747413188,0.6277949915138952,0.4471994763213699,0.6241980410284388,0.4474743468891126,0.004281503591004623,0.6074454509350212,0.01882295290896294
1750,0.1,0.35322834796039715,0.6043221955871465,0.35535197311450556,0.5756241842705606,0.3550104879010473,0.5697786125683673,0.343106187911438,0.6211467668898382,0.35623109556028376,0.6080570806313389,0.35258561848953435,0.00483931643737035,0.5957857679894503,0.019745873323108936
1750,0.2,0.2397262307131783,0.6153372876358079,0.2435274207969232,0.5797979297237028,0.24502561099536888,0.575762866886799,0.2344052242012684,0.6328808861362931,0.2440336178612656,0.6032163398131065,0.2413436209136009,0.003906902007197294,0.6013990620391418,0.021505837807318216
2000,0.01,0.6246465547502712,0.6925964679297164,0.6203883356170429,0.6662610412740726,0.6335223534482413,0.6508246635933557,0.6140063012191476,0.7145575057747948,0.6158955429223757,0.6917775226913024,0.6216918175914157,0.006972160031761004,0.6832034402526482,0.02227218599273838
2000,0.05,0.42873504674346163,0.6090801492483395,0.4356475994123197,0.5892940770037077,0.43397380859157086,0.574056080687445,0.42376154632191143,0.6247396132204966,0.4301560559759978,0.6196223072876359,0.43045481140905234,0.004176003622076585,0.6033584454895249,0.01903071450014768
2000,0.1,0.33170340541552085,0.6033481506623828,0.3371738527706263,0.5733570132431297,0.3339430747145479,0.5695308347737448,0.3233115244790094,0.6193317019555385,0.3377204870151745,0.6064163960828186,0.33277046887897577,0.005213016924742461,0.5943968193435228,0.019531183054865914
2000,0.2,0.21759389677872576,0.6144619731864229,0.21952523695930098,0.5812432829361113,0.2228717347778133,0.57949442000022,0.21227619319764088,0.6318070564591551,0.22081524528233779,0.6033665447016046,0.21861646139916374,0.003605898345235644,0.6020746554567027,0.019914534401238804
2250,0.01,0.6099558426874817,0.6824953807253619,0.6068725324216993,0.656804739988933,0.6190350633351248,0.6415319302987905,0.5989136114820123,0.7027736566716918,0.6019716875596379,0.6841890171261924,0.6073497474971912,0.0069808021338512195,0.6735589449621939,0.021692352344390924
2250,0.05,0.41443241897975985,0.6053078684654782,0.42062974718400714,0.5860134887744495,0.4185782900597094,0.571279124765165,0.4091709004136327,0.6220415708368675,0.41584375702789356,0.6176938119077839,0.41573102273300055,0.003920171375102827,0.6004671729499489,0.019217154888916805
2250,0.1,0.3140864975934597,0.6024796584229608,0.31876850174733173,0.5730933995570354,0.3158516847063279,0.5687449440799961,0.3065585016338134,0.6182680823349024,0.3197879145228018,0.605466155226966,0.3150106200407469,0.004689219873775397,0.5936104479243722,0.01932077731551571
2250,0.2,0.19766749912968204,0.6135463809007982,0.20067181336022558,0.5829744300749905,0.20305849619665287,0.5806092306187471,0.19222068446871185,0.6328752776297817,0.20113419152270418,0.6046454818243302,0.1989505369355953,0.003782686067167568,0.6029301602097296,0.019538738906694185
