n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.4263272961468238,0.43422327122780074,0.42977886460051884,0.44040441673917713,0.42514521067553473,0.4505638409473895,0.4282814471876288,0.44667938415410935,0.4306081769457361,0.4288321452425764,0.4280281991112484,0.002048899367211962,0.44014061166221063,0.007929251895753497
1750,0.05,0.2916015268054935,0.326357772513795,0.29113340228455115,0.32221201895442564,0.29004052136163966,0.3328559135201734,0.28965257062610833,0.3325199327553993,0.29256297659916497,0.31260184924980133,0.2909981995353915,0.0010543884942012466,0.32530949739871895,0.007498217777811642
1750,0.1,0.22846250943262186,0.2834185104822076,0.23128915673037,0.28350725491213,0.23005526187036668,0.2902953493887277,0.22855494937942758,0.28927665446728673,0.23165521070702574,0.27288667102747843,0.23000341762396234,0.0013309163440617237,0.2838768880555661,0.006188468827931338
1750,0.2,0.17318940065157323,0.2573744638251585,0.17406926306334333,0.2539940077730927,0.17497220348645692,0.26168674908061546,0.17222373602825747,0.2622927187236319,0.1750344736221257,0.24550335797557213,0.17389781537035134,0.0010751826983536202,0.2561702594756141,0.0061300103100323305
2000,0.01,0.41480896055094724,0.4244890352169325,0.4178764684541212,0.4291262948202522,0.4140258279981321,0.4404773075123901,0.4169389265378617,0.4362875802308442,0.41908952234027036,0.418241942929926,0.41654794117626653,0.001884812860352982,0.429724432142069,0.007978896531367118
2000,0.05,0.2797763296681397,0.31768517226570564,0.27935947495551,0.31370112463891153,0.2785694824060388,0.3242524727391185,0.27796121910597626,0.32364191282861626,0.2807057545736329,0.30419149399576856,0.2792744521418595,0.000951766769369978,0.3166944352936241,0.0073709752902557345
2000,0.1,0.21757670637199572,0.27735930605953735,0.2205831841099574,0.27658732862570906,0.21915116181499217,0.2835106194640735,0.21689562333648546,0.2821122600911863,0.22018945192512443,0.2661771403841015,0.21887922551171105,0.0014370352264903167,0.27714933092492156,0.006096647590163717
2000,0.2,0.16276099075735592,0.2532429403500783,0.16344967445586644,0.2489590624064066,0.16457459785998102,0.2567987683767338,0.16190716062141106,0.2579228865719622,0.164314921620142,0.24087104159139436,0.16340146906295128,0.0009855070458359477,0.2515589398593151,0.006193254563827042
2250,0.01,0.40486430706880244,0.41612430877312506,0.4072828133485408,0.4191992844332105,0.4046351468776387,0.43182101642116305,0.4068170586403412,0.4271499598422703,0.40923898481975884,0.40936601468389655,0.4065676621510164,0.001693849961636956,0.4207321168307331,0.007961433932582107
2250,0.05,0.2696479301112436,0.310929646427097,0.26889605167263175,0.3064656155692936,0.2687834350519649,0.31717248883321664,0.2674717166547377,0.3156465379256344,0.270208752071703,0.2973164684583708,0.26900157711245615,0.0009245797075828757,0.3095061514427225,0.0071601207080824675
2250,0.1,0.207990227128693,0.27210742031764723,0.21083385661088846,0.27081999142997565,0.20982163149356578,0.27782522227128625,0.20749514432539384,0.2769977900753682,0.21003652859325406,0.26089080293129885,0.20923547763035905,0.0012743220304284244,0.2717282454051152,0.00605574250128497
2250,0.2,0.15384205722392058,0.2494195737136172,0.1538509208403023,0.24478998131677432,0.15540263061098286,0.25250700364696727,0.1527513409528795,0.25440895282920273,0.1549917354885302,0.23720996846587555,0.1541677370233231,0.0009398460828707688,0.2476670959944874,0.006157561576447954
