n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.434748151503849,0.4392002344532641,0.43225721505899894,0.44542337934928056,0.42847874102761246,0.4576355740752358,0.43101853861699296,0.45749760839601405,0.4342271015817389,0.4316141478714707,0.43214594955783847,0.002273081721357802,0.446274188829053,0.010205172508564755
1750,0.05,0.2921458659582699,0.3292763351863185,0.2916562769806058,0.3285357148073696,0.29121839293639895,0.34158996368120925,0.2900869682437319,0.33579159212682663,0.29353264780749744,0.31032681948357677,0.2917280303853008,0.0011304153607796736,0.3291040850570601,0.010521961158358715
1750,0.1,0.2404427618517315,0.2967912565041615,0.24128238632554586,0.2959753333731623,0.2394926683770478,0.30776586169142106,0.23927854174111496,0.3024384688757474,0.24189916145161605,0.2779785741228139,0.24047910394941124,0.0010077252986656268,0.2961898989134612,0.01005094583373842
1750,0.2,0.19147056776571011,0.27597501555451115,0.19212184442552932,0.27210502861087144,0.19104325587372295,0.28289412072237896,0.18905565253801737,0.2808711783204832,0.19236646326729315,0.25726690378331646,0.19121155677405458,0.0011752248787671236,0.27382244939831224,0.009095591963784398
2000,0.01,0.42359993814188396,0.4298891170267498,0.421118989541674,0.43585808470093235,0.4176751546270674,0.44799267555590144,0.4201090131282282,0.44754034812766763,0.42194639928154415,0.42017177286386037,0.4208898989440796,0.0019726809980209767,0.4362903996550223,0.010625234557757187
2000,0.05,0.2821442023485176,0.3224366691047272,0.28152008884673413,0.3213882087258419,0.28144456318011424,0.33440682715154874,0.2800769106413382,0.3289011176264663,0.2830318509116396,0.3027105002386563,0.28164352318566876,0.0009682178972424306,0.32196866456944806,0.01071633934167567
2000,0.1,0.23066761513668638,0.29115264463247864,0.23151640954718603,0.2902118161725793,0.2302448621153237,0.30180982299023607,0.22948159328658888,0.29734653500136476,0.2326021105811246,0.2731124870501614,0.23090251813338192,0.0010744482707459608,0.290726661169364,0.009771027199659135
2000,0.2,0.18203438516425385,0.27174328622735144,0.18238330060569227,0.268388062457284,0.18132891192108322,0.279441169342147,0.1793568147002881,0.2771649568955174,0.18241007139556786,0.2538550710575711,0.18150269675737707,0.0011416212512009947,0.27011850919597424,0.009018848970708353
2250,0.01,0.41325967841774136,0.4213201385817111,0.4108744433120421,0.4266858327880585,0.4072053470862065,0.43867980830540954,0.4094869702828309,0.4375769938480876,0.411261660247414,0.41049587832971496,0.410417619869247,0.002009138805373721,0.4269517303705963,0.010516887657511433
2250,0.05,0.27368387365260566,0.316801671645457,0.2724987993846234,0.31532655730268677,0.2728633527935125,0.32834373746749734,0.27125289916430906,0.32268799563637074,0.27436163184308354,0.29732978158150886,0.2729321113676268,0.0010602750551405517,0.3160979487267041,0.010456791370407628
2250,0.1,0.22236775712613435,0.2870650008140904,0.22316928487914575,0.2858463966700263,0.22146068855041554,0.2967011321668475,0.22083426102055986,0.2931276891445657,0.22384778331469987,0.2692791812653469,0.22233595497819109,0.0010956505904244234,0.28640388001217537,0.00943659034553099
2250,0.2,0.17333211691998635,0.268187596732404,0.17381646000921455,0.2650767951476637,0.17292664348762468,0.2758895902578847,0.17101173075376855,0.2740229027383164,0.17382264138206988,0.2508547072018952,0.1729819185105328,0.001040250788107615,0.26680631841563274,0.008876237913482462
