n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.5963995207574267,0.6753188734560213,0.5955061493043223,0.6452352659467784,0.6013157282139178,0.6258815358694402,0.5920060913264474,0.6961678847131135,0.5980946580329018,0.6803442368837237,0.5966644295270032,0.003059151437087988,0.6645895593738154,0.02542997614244065
1750,0.05,0.3675144604131846,0.5460686889201538,0.3746733192362858,0.5144687179270444,0.36892199955070004,0.5020369079325311,0.3651653065336714,0.5507054212185527,0.367203378660552,0.5486658708735522,0.3686956928788788,0.0032208437152129706,0.5323891213743669,0.02014918213235795
1750,0.1,0.2620382404707981,0.5122186411125016,0.26508672490412827,0.4679667624594349,0.2638500075947019,0.471683594311077,0.25709359749697086,0.5153928800245001,0.2597940040297685,0.5168453664667724,0.26157251489927347,0.002862773035136382,0.4968214488748572,0.02212434640697363
1750,0.2,0.15523697793980973,0.49977777791626915,0.15753438320525306,0.4504059002535821,0.15653089949796417,0.4592476260344253,0.15171027728743314,0.49829002906461695,0.15649843256770946,0.4959712398747352,0.1555021940996339,0.002031230718796231,0.4807385146287257,0.02137527034378705
2000,0.01,0.5764150393084936,0.661226307392248,0.5739946680509754,0.6281443305794046,0.5800014106328909,0.612007719472352,0.5699108285303569,0.6777403113731494,0.5755226041311988,0.6641994171410506,0.5751689101307831,0.0032880774034403496,0.6486636171916409,0.02453296708656149
2000,0.05,0.3488124988605927,0.5375223520952697,0.353580793728744,0.501921250716515,0.3511584322870413,0.496719085920472,0.34510988583951263,0.5410215315529523,0.34832311013134204,0.5402147988483492,0.3493969441694465,0.002845382312025926,0.5234798038267117,0.019828629135333987
2000,0.1,0.2424392568444864,0.5081257265684916,0.2430232717466208,0.45963448607052504,0.2432952470514349,0.4670191411806334,0.23708994566496064,0.5099926953406174,0.23918071595462678,0.5114155700981606,0.24100568745242593,0.002450771529838296,0.4912375238516856,0.02293208867550901
2000,0.2,0.13582758134264108,0.4954357470001188,0.13883422841595072,0.44606727101293986,0.13717745621916777,0.4590290348065118,0.1331269440517387,0.49644205537914077,0.13745848243316963,0.4936222506378797,0.13648493849253357,0.0019315681110043843,0.4781192717673181,0.02129645495012423
2250,0.01,0.5588335313633817,0.6496288595280489,0.5556529050428957,0.6144602299964269,0.5618347059805783,0.6002015223018197,0.5525387818058088,0.6633634553504105,0.5562005728526239,0.6509793928868821,0.5570120994090576,0.003133423162110276,0.6357266920127176,0.024099817107368908
2250,0.05,0.33256283734556535,0.531204919892444,0.336777940315087,0.4931630011695484,0.3339837813044692,0.4918394003615994,0.326956416280657,0.5337173820463272,0.3299056174755859,0.532388818737138,0.33203731854427293,0.00337336921548525,0.5164627044414114,0.019585102545447867
2250,0.1,0.2242416294927293,0.5050817544873846,0.22620839049207855,0.4558977836400537,0.22556805169874627,0.4631709538232519,0.21926105801806348,0.5051275160659819,0.2222560923907974,0.5088683053145457,0.22350704441848301,0.0025170585348001746,0.4876292626662435,0.02309532813394753
2250,0.2,0.12047149871014286,0.4920206325052038,0.12217685643118334,0.442064370668716,0.12068635704479196,0.4577492750973904,0.11806975493886751,0.49513171778897014,0.12183505934907422,0.4931635560201557,0.12064790529481198,0.00144405563632502,0.4760259104160872,0.021917953770885366
