n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.4161664670098608,0.4262742623928627,0.41776103099520484,0.42827664810184446,0.41696284469927913,0.44417169027659614,0.4165512168830821,0.4366349596747784,0.4214548163159058,0.42127709337324837,0.4177792751806666,0.0019123687717676888,0.43132693076386597,0.008111669759332857
1750,0.05,0.27533263800688673,0.31469308513790556,0.2755348159657243,0.31286434367114113,0.2740346696844732,0.32154729929679493,0.27383984928606697,0.32077451375019667,0.2775460320024347,0.3011726964136282,0.2752576009891172,0.001328531224125692,0.31421038765393333,0.007334088191520152
1750,0.1,0.2195549884004319,0.2796552465611713,0.21986533482207343,0.2759814990844982,0.21752152252576193,0.28258467071759624,0.21635170133960574,0.2829649368501419,0.2190582654126846,0.26432719481488415,0.21847036250011156,0.0013309405221313938,0.27710270960565836,0.006861544170375564
1750,0.2,0.1654749347045532,0.2529223599830503,0.16638322443267597,0.2507497376255126,0.1660954052660986,0.25863421120743113,0.16472627837680764,0.2605977627229895,0.16578884661763565,0.24193859513202357,0.16569373787955421,0.0005708987278412377,0.25296853333420144,0.006586194196181396
2000,0.01,0.4045226681627036,0.41651441052780125,0.406078415600492,0.417543438122111,0.40476745347986454,0.4329940633170353,0.40526791006867624,0.4262103459215637,0.41007393512504475,0.41074356545562807,0.4061420764873562,0.002036654301422297,0.4208011646688279,0.007849463223973448
2000,0.05,0.2643473634064409,0.30677734578231186,0.2643344780378865,0.3050749794058224,0.2633642784569288,0.31369969023815153,0.26302892149829804,0.31307412406550345,0.26667559301416754,0.29384816890573445,0.26435012688274434,0.0012747961435551946,0.30649486167950474,0.007172599935266144
2000,0.1,0.20851020631494235,0.2734111737431168,0.2095041742046115,0.2698771914347738,0.20761151632366207,0.2769880433863683,0.20634121265764746,0.27738841887290266,0.2081859229614787,0.2587927698007145,0.2080306064924684,0.0010445313873938568,0.2712915194475752,0.006816664409857728
2000,0.2,0.1551242234412909,0.24855963481320761,0.1561149617741151,0.24617485986358106,0.15590181503060704,0.2540221003166953,0.15461570153962792,0.2561215797438695,0.15539023413744155,0.2376723691720856,0.1554293871846165,0.0005385058565396482,0.24851010878188787,0.006499676623848101
2250,0.01,0.39436841900178915,0.4081197320925048,0.39603824700913076,0.4083859038759639,0.3944899316646773,0.42380408737405023,0.3949623293617112,0.4170042077450019,0.3998595410876016,0.4015171902419513,0.395943693624982,0.0020445435424997723,0.4117662242658944,0.007773194821580337
2250,0.05,0.25503801984258945,0.3004950085352333,0.25482814751623045,0.2988786124219158,0.2534990058855681,0.30645363553733135,0.25317526414041486,0.3061072640233532,0.257167320206705,0.2875792238096894,0.2547415515183016,0.001412580749079794,0.2999027488655046,0.0068509710450981864
2250,0.1,0.19926501267577984,0.26844948990242473,0.20017288573681827,0.2650387200075531,0.1985063812163846,0.27128769902026084,0.1972504413520323,0.2725143535473184,0.19860965338442832,0.2537634952949066,0.19876087487308863,0.0009609343354109817,0.26621075155449275,0.006735437467358064
2250,0.2,0.14608931786034937,0.2448214533818125,0.1473625520201408,0.24259455338273428,0.14711218726168152,0.25042666952963655,0.14572539320450886,0.2521725062460474,0.14648685072863518,0.23480033780401804,0.14655526021506315,0.0006119394062742609,0.24496310406884975,0.006176373413587015
