n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.41808679900378565,0.4289158444754076,0.41980860248668267,0.43024564687518413,0.4176300654243394,0.4445766241965418,0.4200263181404166,0.4398141704281266,0.4201811622518758,0.4208078771468074,0.41914658946142,0.0010682252217724575,0.43287203262441354,0.008405758922524757
1750,0.05,0.2819972842968631,0.32021491209849634,0.28304377042585527,0.31865910379446627,0.2828226432265059,0.32887121109409206,0.2824605003893919,0.32869051876346256,0.28476258404805843,0.30589162389997665,0.28301735647733495,0.0009418138007472647,0.32046547393009883,0.008414637707944815
1750,0.1,0.22973451176226473,0.28750914095634333,0.2292507941938258,0.2836855957411324,0.2307277314626517,0.2948289223213072,0.23053458591426526,0.293788644302945,0.23153114810169273,0.2738437365369083,0.23035575428694005,0.0007948304815218243,0.2867312079717272,0.007633455820630158
1750,0.2,0.1820797359571933,0.26509137362651586,0.18265252576390753,0.2651622504524197,0.1821260497316347,0.27234209256953723,0.17995891166761277,0.27131376328934764,0.1826796561801535,0.25052762812510804,0.18189937586010035,0.0010025352109979215,0.2648874216125857,0.007787050567976309
2000,0.01,0.40593831815264947,0.4187972356440864,0.4079382033547947,0.41925762050564874,0.4052582631277726,0.43333213820050287,0.40821155556912647,0.4293141438256117,0.40841391921068976,0.4100311641712577,0.40715205188300657,0.0012955675796984022,0.4221464604694215,0.008280557694472633
2000,0.05,0.27162345101024377,0.3126019288480898,0.2730824141422448,0.3117751079564697,0.27283120451410214,0.32144961848147685,0.27178675121935547,0.32052361163449294,0.27469313427153436,0.2990442152311236,0.2728033910314961,0.00110232227236858,0.3130788964303306,0.00805471800811285
2000,0.1,0.22042191971238606,0.28220786177613727,0.2198578716025985,0.2788653795773723,0.22133172724566041,0.28929330932572955,0.22060353346512643,0.287907671016315,0.22183179171604317,0.2686765483857305,0.2208093687483629,0.0006951314785335577,0.2813901540162569,0.007397523798786425
2000,0.2,0.17250831013657816,0.2605345497776312,0.17313051029808998,0.26109209671364475,0.17309142165487265,0.26847317262303955,0.17032138397496943,0.2672571076523935,0.17274482567631566,0.24676581435226075,0.17235929034816516,0.0010444810418505264,0.260824548223794,0.0077159957927281616
2250,0.01,0.3959603223846663,0.41065437166116,0.39780911931061486,0.41021030887609267,0.3946913555835591,0.42351720436037965,0.3976691616899918,0.41988143199536515,0.3979815697837274,0.4006467906847716,0.3968223057505119,0.0012898699950284252,0.41298202151555385,0.008047983685270882
2250,0.05,0.2630155684783563,0.30703951129863505,0.26391480715339655,0.30606081428328524,0.26369076273096376,0.3145920920428785,0.26308972735911557,0.3146786864844253,0.26608281579972404,0.2934713416616594,0.26395873630431127,0.001116261206339493,0.3071684891541767,0.007750720897142579
2250,0.1,0.21254081634872898,0.27821803317645194,0.21166345203493367,0.2746629769161749,0.21306688534159018,0.2849283006022953,0.21185489101807414,0.2835276966877017,0.21348722558626848,0.2645851504182313,0.21252265406591914,0.0006944136211108238,0.27718443156017103,0.0072989378862443315
2250,0.2,0.1640586233504648,0.25733045439342145,0.16478766613689758,0.25754707808181654,0.16444621322933897,0.2643757764197753,0.16177840923338482,0.26389392485904695,0.16432312410899536,0.2440268245282747,0.1638788072118163,0.0010760480612925381,0.257434811656467,0.00734431410313599
