n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.6124399165735207,0.6917113689358056,0.6210063787645951,0.669442298118025,0.6124500224956285,0.6311381427654104,0.6055433211606253,0.7094527286981329,0.6118638813534321,0.6884744025361162,0.6126607040695603,0.004920070850560676,0.678043788210698,0.026669260308750848
1750,0.05,0.3901705167929882,0.5571940132287988,0.3954036269472373,0.5431335590230578,0.39218891425941194,0.5205857332450776,0.3885310689555108,0.5732223187638213,0.39234130803484246,0.5707353642171534,0.3917270869979982,0.0023127879293557262,0.5529741976955818,0.019437608315223405
1750,0.1,0.29434808291233605,0.5293336814114501,0.2951922589819159,0.5129621868640634,0.2901030863996875,0.49092188795628977,0.2904785552621456,0.5359375018113386,0.29196138100239116,0.5400318364170019,0.2924166729116952,0.0020371792222824204,0.5218374188920287,0.01800323812958881
1750,0.2,0.18891399817066945,0.508467523577612,0.190311205795689,0.49262130020510053,0.18683664842101275,0.4889467355351495,0.18819531285941749,0.5258446173681003,0.191274832784313,0.5246679514746829,0.18910639960622033,0.0015602902433450123,0.5081096256321291,0.01546570890017649
2000,0.01,0.5927059136534685,0.6768129817712447,0.6012822992039565,0.6557224928388692,0.5937901462965385,0.6189485986319183,0.5880581375636547,0.694674698429343,0.5935099271722138,0.6759071695808099,0.5938692847779664,0.004247612223066287,0.664413188250437,0.025861873792927773
2000,0.05,0.3726246880716513,0.5499118974100223,0.3781832328403962,0.5354677234328264,0.37405231977779396,0.5149456579307083,0.3700023311191475,0.5650827062174051,0.37396890023232227,0.5655352082072342,0.37376629440826226,0.0026496373115886805,0.5461886386396393,0.019163507330280164
2000,0.1,0.275040723902673,0.523257783710688,0.27583413293407294,0.5084120864212077,0.2715076016236784,0.48842388508424733,0.2714310605834408,0.5295141167949196,0.272792790283634,0.5357520020853226,0.2733212618654998,0.00181177135846953,0.517071974819277,0.016957129826575247
2000,0.2,0.17058619726728297,0.508325369820955,0.17228494817903303,0.4920146336890287,0.16755674205504598,0.4866522971847632,0.16977241716278504,0.5215805851170239,0.17342547017457494,0.520953165734933,0.17072515496774437,0.0020342328298939994,0.5059052103093407,0.014433560146692184
2250,0.01,0.5754101366515262,0.6644260088371341,0.5846912058487248,0.644647013641857,0.5785485581214428,0.6094976372945818,0.5728541542367298,0.6824589241267492,0.578777914664704,0.6662506522118897,0.5780563939046256,0.003971133902776652,0.6534560472224424,0.02504056596564817
2250,0.05,0.35733864840878454,0.5436816567409658,0.36221217178627557,0.5296468970486036,0.35834282469110446,0.5103378130642962,0.354409151522927,0.5585528016481187,0.3574014395486117,0.5600037044425553,0.3579408471915406,0.0025112657357854603,0.5404445745889079,0.018675936809076983
2250,0.1,0.25807837693662256,0.5177651563922924,0.2592050553576915,0.5026788359592614,0.25308069824269097,0.4846117965717562,0.2547045697166466,0.5245646930809721,0.2548742353903367,0.5303362782384313,0.25598858712879763,0.0022829449224207364,0.5119913520485427,0.016518626167146527
2250,0.2,0.15329841317641413,0.5062495693794362,0.15641397328797985,0.49050091823721853,0.15245298267908758,0.4871601363118065,0.15444719326387246,0.5195305133942636,0.15582020339197478,0.5182147646083765,0.15448655315986576,0.0014860825020062112,0.5043311803862203,0.013517209451569227
