n_estimators,learning_rate,fold_0_train_mse,fold_0_val_mse,fold_1_train_mse,fold_1_val_mse,fold_2_train_mse,fold_2_val_mse,fold_3_train_mse,fold_3_val_mse,fold_4_train_mse,fold_4_val_mse,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std
1750,0.01,0.5509755848038667,0.6523960725014196,0.5609902086075771,0.644871751690662,0.5646829502672752,0.6129199459927309,0.5539834215323548,0.6842098938976786,0.5601674910653429,0.6644299030176809,0.5581599312552833,0.004972898766562234,0.6517655134200344,0.0235368827704298
1750,0.05,0.3252172821604857,0.5354372114205116,0.32595612671306634,0.5103292436501716,0.3315372398163963,0.4974652722677544,0.3213748136177956,0.5533503741687475,0.3314450753232782,0.532538997911284,0.32710610752620445,0.0039038294510533467,0.5258242198836939,0.019695234034315685
1750,0.1,0.22297031340201265,0.490975238238473,0.21456043965491292,0.46175887805206367,0.22245819893197585,0.4603156862504289,0.21897495924766125,0.5101888624976274,0.2246890824127006,0.4923346090013606,0.22073059872985262,0.003600656893955013,0.4831146548079907,0.019264844755952124
1750,0.2,0.12322381522103606,0.47540292577814286,0.12181050709732162,0.44233400254906835,0.12553042438367562,0.439143715286238,0.12343328073824862,0.48150485321975417,0.12466110225316651,0.4678352900158686,0.1237318259386897,0.0012757100807869095,0.4612441573698144,0.017323008078024015
2000,0.01,0.5317349452191169,0.64034363886237,0.5422072922370154,0.6303077350040398,0.5449218839362635,0.6006214105365127,0.5337638829776726,0.6702710588332607,0.5397253016026757,0.6496177126049675,0.5384706611945488,0.004993564655614165,0.6382323111682301,0.022969306372470955
2000,0.05,0.30416519407176024,0.5270958849009785,0.3057394977932991,0.49889299462019615,0.31026068422837716,0.4885815190658609,0.30097072918119977,0.5432592179540598,0.31305250809162505,0.5244887999432625,0.30683772267325227,0.004315329495016791,0.5164636832968716,0.01990774255650717
2000,0.1,0.20430449128573597,0.48407532259175323,0.19540321324380183,0.45430455179920065,0.20299538328524747,0.4534122497275082,0.19874651490022893,0.5021718743436007,0.20284591417479908,0.48175964543465694,0.20085910337796267,0.003304892556559497,0.47514472877934394,0.018764822662911983
2000,0.2,0.10679316515661638,0.47364351437683616,0.1073679042568986,0.4396507640421916,0.10873597379404894,0.43579440059136154,0.10723527437344546,0.47799999045360114,0.10872423824890069,0.46321173552590983,0.107771311165982,0.0008056657128407422,0.4580600809979801,0.017330010987273544
2250,0.01,0.5153621456841129,0.6310430687165697,0.5260767840655828,0.6189213861284366,0.5276837592701566,0.5904839756220747,0.5157584497795042,0.6585735479026528,0.5230543252794686,0.6392221882860899,0.5215870928157651,0.0051420324175048835,0.6276488333311647,0.022623864980615263
2250,0.05,0.2880314191372272,0.520694408057758,0.2854671196375274,0.488603432073915,0.29239226877268487,0.4821472189098408,0.28276914561798056,0.5354843028610654,0.2944971286175978,0.5159353632953396,0.2886314163566036,0.00431948098333246,0.5085729450395837,0.02011197005586309
2250,0.1,0.18876398190030969,0.479355433150154,0.1815968914041944,0.44849277644849767,0.18599400253117082,0.4478253704766925,0.1833079354419495,0.4973743964682179,0.18597628258889604,0.47449502496661505,0.1851278187733041,0.002468654324146098,0.46950860030203545,0.019027109354555736
2250,0.2,0.09397054677517183,0.47171202927763556,0.09473337898596401,0.4365441479766739,0.09514656550176788,0.43463404504700553,0.0940542922719934,0.4741121457489653,0.09498267285098988,0.4604637666599308,0.0945774912771774,0.00048050752047006925,0.4554932269420422,0.016903212799896598
